How,Steps
Create Voucher,"Click on buy voucher link and select the preferred theme.
Enter the voucher amount.
Add receiver’s information and write your personalized message.
You can select one or more gifting options and confirm the payment."
Top Up Voucher,"Click on ‘Topup’ icon on ‘My Vouchers’.
Enter the amount you want to top up.
Confirm the payment via our secure payment methods!"
Transfer,"Click on ‘Transfer’ icon on ‘My Vouchers’.
Enter receiver’s information.
You can select one or more gifting options and complete the process."
How to redeem with Instagram/Facebook merchants?,"Request the Thyaga payment link from merchant.
Enter mobile number and OTP.
Select your voucher and enter the redeemable amount.
You have now successfully redeemed your voucher."
How to redeem at the store?,"Scan the QR placed at the store.
Enter mobile number and OTP.
Select your voucher and enter the redeemable amount.
You have now successfully redeemed your voucher."
How to use Thyāga on e-commerce sites?,"Visit the merchant website and add your favorite products to the cart.
Once you proceed to check out, click on Thyāga redemption option.
Enter the Thyāga voucher ID that you wish to redeem from.
Enter the amount that you wish to redeem.
*User has the option of,
Redeeming the entire cart amount from the voucher
Pay a certain amount from the voucher and the remaining amount through other payment options provided through the merchant’s site.
You will receive an OTP to confirm the redemption via Thyāga.lk The redeemed amount will betentatively deducted from the voucher until the payment process is completed. If the user does not proceed to complete the payment process within one hour, this amount will be added back to the voucher.
Proceed to complete the payment process.
You have now successfully redeemed your voucher."