id,description,slug,published,title,category,category_title,image_front,occasion,recipient,tone,keywords
1,"The gift that always gets it right! <br>
Thyaga's multi-store gift voucher gives your loved ones the freedom to choose what they want, when they want it. One voucher, endless possibilities for every occasion.",multi-store,1,Multi-Store Gift Card,General,One voucher. Any occasion. All the freedom they'll love.,https://thyaga0323.sirv.com/Images/voucher-products/multi-store-front.png,general,anyone,general,"general, any occasion"
2,"<p>Get ready to sprinkle some birthday magic!<br>
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!<br>
Add a dash of personal touch with a heartfelt message before you send it off. </p>
",birthday-frog,1,Birthday Gift Card,Birthday,"Birthdays made better with gifts they actually want, finally.",https://thyaga0323.sirv.com/Images/voucher-products/birthday/05-front.png,Birthday,anyone,"funny, upbeat","birthday, bday, funny, for anyone, friend"
4,"<p>Saying goodbye is never easy, but with Thyaga Voucher, you can make it memorable! </br>
Explore our farewell collection and give the gift of choice to your departing colleague or friend. 
From heartfelt messages to customise themes, our vouchers offer the perfect way to send them off with love and appreciation. Browse now and make their farewell truly special!</p>",farewell,1,Farewell Gift Card,Farewell,"Parting is sweet, especially with a thoughtful Thyaga voucher.",https://thyaga0323.sirv.com/Images/voucher-products/farewell/01-front.png,farewell,"colleague, friend, co worker","funny, warm, sentimental","farewell, goodbye, leaving, departure, colleague, going away, co worker"
6,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-couple-cream,1,Wedding Gift Card,Weddings,Celebrate their forever with a gift that keeps giving.,https://thyaga0323.sirv.com/Images/voucher-products/wedding/01-front.png,wedding,"couple, newlyweds","warm, romantic","wedding, marriage, newlyweds, love, couple, celebration"
10,"<p>Moving up the academic ladder deserves special praise from loved ones, and we've got just the
gift for the occasion! <br>
Celebrate their hard work and commitment - by letting them shop for everything they've
secretly wanted for a while! From novelty books to collectibles and fashion, nothing screams
I'm Proud Of You"" more than a gift that shows how much you care about them.</p>""",graduation,1,Graduation Gift Card,Congratulations,"Whether it's a win or milestone, celebrate in style.",https://thyaga0323.sirv.com/Images/voucher-products/graduation/03-front.png,graduation,"student, graduate, friend, sibling",funny,"graduation, academic, achievement, milestone, proud, exam"
59,"<p>Thyaga multi-store gift voucher is the perfect gift for any occasion!</p>
Give your loved ones the gift of choice where they can use this Thyaga voucher to shop at over 130 merchants!",mothers-day-queen-bee,1,"Happy Mother's Day, Queen Bee!",Mother's Day,,https://thyaga0323.sirv.com/Images/voucher-products/mothers-day/md-1-front.png,Mother's Day,"mom, mother",warm,"mother's day, mom, queen, appreciation, mum"
60,"<p>Thyaga multi-store gift voucher is the perfect gift for any occasion!</p>
Give your loved ones the gift of choice where they can use this Thyaga voucher to shop at over 130 merchants!",mothers-day-blue,1,Mother's Day Gift Card,Mother's Day,,https://thyaga0323.sirv.com/Images/voucher-products/mothers-day/md-2-front.png,Mother's Day,"mom, mother",warm,"mother's day, mom, queen, appreciation, mum"
68,"<p>Express your gratitude with Thyaga Voucher! Saying thank you has never been easier with the gift of choice. </br>
Whether it's for a kind gesture, a helping hand, or simply being there, our vouchers offer a world of possibilities to show your appreciation. 
Let them choose their own reward, from indulgent treats to unforgettable experiences. With Thyaga Voucher, you can say thank you in the most meaningful way possible. </p>

",thank-you-01,1,Thank You Gift Card,Thank you,"A small card that says big, heartfelt thanks, stylishly.",https://thyaga0323.sirv.com/Images/voucher-products/thank-you/01-front.png,thank you,anyone,"warm, sincere","thank you, gratitude, appreciation, grateful, thankful"
84,"<p> Get ready to celebrate in style with Thyaga Voucher's ""Congratulations"" gift voucher! <br>
Whether they aced that exam, nailed that presentation, or reached a major milestone, this card is the perfect way to say congratulations! <br> 
Let them choose their own reward from our fantastic selection, ensuring their success is celebrated with a touch of fun and flair. 
Here's to cheering on their achievements and spreading the joy together!
</p>",congrats-01,1,Congratulations Gift Card,Congratulations,"Whether it's a win or milestone, celebrate in style.",https://thyaga0323.sirv.com/Images/voucher-products/congratulations/front-02.png,congratulations,anyone,"fun, upbeat","congratulations, achievement, milestone, success, well done"
87,"<p>Get ready to sprinkle some birthday magic!<br>
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!<br>
Add a dash of personal touch with a heartfelt message before you send it off. </p>
",hbd-dad-01,1,Family Birthday Gift Card,Birthday,"Birthdays made better with gifts they actually want, finally.",https://thyaga0323.sirv.com/Images/voucher-products/birthday/hbd-dad-01-front.png,Birthday,"dad, father","warm, upbeat","birthday, dad, father, family birthday, celebrate dad"
94,"<p>All teachers deserve something amazing for all the time and effort they put in to helping you
grow. Surprise them with a little self-care gift; a Thyaga Voucher that helps them get everything
they need to refuel and indulge in! <br>
Whether it's some much-needed books and stationery, a wearable and capable watch, or a
sharp pair of eyeglasses, a Thyaga Voucher offers them the finest local and international
offerings, from over 150 Merchants.<br>
Be the reason your teachers smile today. </p>",thank-you-mentor-teacher,1,Teachers' Day,Thank you,"A small card that says big, heartfelt thanks, stylishly.",https://thyaga0323.sirv.com/Images/voucher-products/thank-you/03-front.png,teacher's day,"teacher, mentor","warm, appreciative","teacher, mentor, teachers day, gratitude, appreciation, educator"
135,"<p>Celebrate the arrival of the newest bundle of joy with Thyaga Voucher! Our specially curated collection for newborns offers the perfect gift for the growing family. </br>
Whether it's baby gear or self-care indulgences for tired parents, our vouchers ensure everyone feels appreciated and cared for during this special time. Find the perfect gift to cherish these precious moments together!
Welcome the little one with love and happiness - explore our collection today!</p>",new-born,1,New Born Gift Card,New Born,,https://thyaga0323.sirv.com/Images/voucher-products/newborn/front-01.png,new born,"parents, family","warm, celebratory","newborn, baby, new baby, baby shower, parents, new arrival"
169,"<p>Thyaga multi-store gift voucher is the perfect gift for any occasion!</p>
Give your loved ones the gift of choice where they can use this Thyaga voucher to shop at over 150 merchants!",good_job_darkblue,1,Good Job Gift Card,Congratulations,"Whether it's a win or milestone, celebrate in style.",https://thyaga0323.sirv.com/Images/voucher-products/good_job/front-01.png,congratulations,anyone,"fun, upbeat","good job, well done, congratulations, achievement, success"
186,"<p> Make their special day even brighter! The Best Wishes Voucher is your go-to gift for any occasion, giving them the freedom to choose what they truly love. Unlimited options, endless smiles and your heartfelt best wishes wrapped in one perfect card.
</p>",bestwishes,1,Wishing the Best Gift Card,Best Wishes,,https://thyaga0323.sirv.com/Images/voucher-products/bestwishes/front-01.png,"general, best wishes",anyone,"warm, neutral","best wishes, any occasion, flexible, good luck, general gift"
215,"<p>Why say I love you"" the ordinary way when you can add a touch of Sri Lankan magic? Blend humor and romance into one irresistible package. Whether it's a cheeky pun or a sweet cultural reference, Make your gift unforgettable - because love should always come with a laugh!</p>"".  this will bring smiles and memories that last long. ",154-bus,1,Sri Lankan Pick Up Line Gift Card,Sri Lankan Pick Up Line Series,"Flirt the Lankan way with love, laughs, and gifting.",https://thyaga0323.sirv.com/Images/voucher-products/valentines/11-front.png,"anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship","flirty, playful, funny","valentine's day, sri lankan, pick up line, humor, romantic, funny, love"
217,"<p>Get ready to sprinkle some birthday magic!<br>
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!<br>
Add a dash of personal touch with a heartfelt message before you send it off. </p>
",birthday-yellow,1,Birthday Gift Card,Birthday,"Birthdays made better with gifts they actually want, finally.",https://thyaga0323.sirv.com/Images/voucher-products/birthday/01-front.png,Birthday,anyone,"fun, upbeat","birthday, surprise, celebrate, birthday magic, birthday gift"
218,"<p>Get ready to sprinkle some birthday magic!<br>
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!<br>
Add a dash of personal touch with a heartfelt message before you send it off. </p>
",birthday-pink,1,Birthday Gift Card,Birthday,"Birthdays made better with gifts they actually want, finally.",https://thyaga0323.sirv.com/Images/voucher-products/birthday/03-front.png,Birthday,anyone,"fun, upbeat","birthday, surprise, celebrate, birthday magic, birthday gift"
219,"<p>Get ready to sprinkle some birthday magic!<br>
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!<br>
Add a dash of personal touch with a heartfelt message before you send it off. </p>
",birthday-purple,1,Birthday Gift Card,Birthday,"Birthdays made better with gifts they actually want, finally.",https://thyaga0323.sirv.com/Images/voucher-products/birthday/02-front.png,Birthday,anyone,"fun, upbeat","birthday, surprise, celebrate, birthday magic, birthday gift"
220,"<p>Get ready to sprinkle some birthday magic!<br>
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!<br>
Add a dash of personal touch with a heartfelt message before you send it off. </p>
",birthday-cupcake,1,Birthday Gift Card,Birthday,"Birthdays made better with gifts they actually want, finally.",https://thyaga0323.sirv.com/Images/voucher-products/birthday/04-front.png,Birthday,anyone,"fun, upbeat","birthday, surprise, celebrate, birthday magic, birthday gift"
221,"<p>Get ready to sprinkle some birthday magic!<br>
Birthdays are all about love, laughter, and making wishes come true. With a Thyaga Voucher you're not just giving a gift - you're giving them the power to pick their own special surprise!<br>
Add a dash of personal touch with a heartfelt message before you send it off. </p>
",birthday-mom,1,Birthday Gift Card,Birthday,"Birthdays made better with gifts they actually want, finally.",https://thyaga0323.sirv.com/Images/voucher-products/birthday/hbd-mom-01-front.png,Birthday,"mom, mother","fun, upbeat","birthday, mom, mother, happy birthday mom, celebrate mom"
222,"<p> Get ready to celebrate in style with Thyaga Voucher's ""Congratulations"" gift voucher! <br>
Whether they aced that exam, nailed that presentation, or reached a major milestone, this card is the perfect way to say congratulations! <br> 
Let them choose their own reward from our fantastic selection, ensuring their success is celebrated with a touch of fun and flair. 
Here's to cheering on their achievements and spreading the joy together!
</p>",congrats-02,1,Congratulations Gift Card,Congratulations,"Whether it's a win or milestone, celebrate in style.",https://thyaga0323.sirv.com/Images/voucher-products/congratulations/low-res-01-front.png,congratulations,anyone,"fun, upbeat","congratulations, achievement, milestone, success, well done, celebrate"
224,"<p>Moving up the academic ladder deserves special praise from loved ones, and we've got just the
gift for the occasion! <br>
Celebrate their hard work and commitment - by letting them shop for everything they've
secretly wanted for a while! From novelty books to collectibles and fashion, nothing screams
I'm Proud Of You"" more than a gift that shows how much you care about them.</p>""",graduation- smartypants,1,Graduation Gift Card,Congratulations,"Whether it's a win or milestone, celebrate in style.",https://thyaga0323.sirv.com/Images/voucher-products/graduation/02-front.png,graduation,"student, graduate","proud, upbeat","graduation, academic, achievement, smartypants, proud, exam, milestone"
228,"<p>Moving up the academic ladder deserves special praise from loved ones, and we've got just the
gift for the occasion! <br>
Celebrate their hard work and commitment - by letting them shop for everything they've
secretly wanted for a while! From novelty books to collectibles and fashion, nothing screams
I'm Proud Of You"" more than a gift that shows how much you care about them.</p>""",graduation- 3,1,Graduation Gift Card,Congratulations,"Whether it's a win or milestone, celebrate in style.",https://thyaga0323.sirv.com/Images/voucher-products/graduation/01-front.png,graduation,"student, graduate","proud, upbeat","graduation, academic, achievement, milestone, proud, hard work, cute"
229,"<p>Saying goodbye is never easy, but with Thyaga Voucher, you can make it memorable! </br>
Explore our farewell collection and give the gift of choice to your departing colleague or friend. 
From heartfelt messages to customise themes, our vouchers offer the perfect way to send them off with love and appreciation. Browse now and make their farewell truly special!</p>",farewell-2,1,Farewell Gift Card,Farewell,"Parting is sweet, especially with a thoughtful Thyaga voucher.",https://thyaga0323.sirv.com/Images/voucher-products/farewell/02-front.png,farewell,"colleague, friend, co worker","warm, sentimental","farewell, goodbye, leaving, departure, colleague, going away, co worker"
231,"<p>Saying goodbye is never easy, but with Thyaga Voucher, you can make it memorable! </br>
Explore our farewell collection and give the gift of choice to your departing colleague or friend. 
From heartfelt messages to customise themes, our vouchers offer the perfect way to send them off with love and appreciation. Browse now and make their farewell truly special!</p>",farewell-3,1,Farewell Gift Card,Farewell,"Parting is sweet, especially with a thoughtful Thyaga voucher.",https://thyaga0323.sirv.com/Images/voucher-products/farewell/03-front.png,farewell,"colleague, friend, co worker","warm, sentimental","farewell, goodbye, leaving, departure, colleague, going away, co worker"
233,"<p>Saying goodbye is never easy, but with Thyaga Voucher, you can make it memorable! </br>
Explore our farewell collection and give the gift of choice to your departing colleague or friend. 
From heartfelt messages to customise themes, our vouchers offer the perfect way to send them off with love and appreciation. Browse now and make their farewell truly special!</p>",farewell-4,1,Farewell Gift Card,Farewell,"Parting is sweet, especially with a thoughtful Thyaga voucher.",https://thyaga0323.sirv.com/Images/voucher-products/farewell/04-front.png,farewell,"colleague, friend, co worker","warm, sentimental","farewell, goodbye, leaving, departure, colleague, going away, co worker"
236,"<p>For the one who drives your heart crazy! This fun and quirky voucher says it all. Give them the freedom to choose and make your love ride extra special!
</p>",tuk-tuk,1,Lovebird Gift Card,Lovebirds,"For soulmates, situationships, or spicy just because"" surprises.""",https://thyaga0323.sirv.com/Images/voucher-products/valentines/03-front.png,"anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship","romantic, flirty, playful, funny, humorous","love, tuk-tuk, quirky, fun, couple, romantic, lovebirds, valentine's day, sri lankan, pick up line, humor, funny"
238,"<p>Paw-sitively adorable! This voucher is perfect for the one who makes your heart wag with joy. Gift them choice, love, and a little bit of spotted magic!</p>",special-spot,1,Lovebird Gift Card,Lovebirds,"For soulmates, situationships, or spicy just because"" surprises.""",https://thyaga0323.sirv.com/Images/voucher-products/valentines/04-front.png,"anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship","romantic, warm","love, cute, adorable, couple, lovebirds, romantic, dogs"
246,"<p>Why say I love you"" the ordinary way when you can add a touch of Sri Lankan magic? Blend humor and romance into one irresistible package. Whether it's a cheeky pun or a sweet cultural reference, Make your gift unforgettable - because love should always come with a laugh!</p>"".  this will bring smiles and memories that last long. ",tuk,1,Sri Lankan Pick Up Line Gift Card,Sri Lankan Pick Up Line Series,"Flirt the Lankan way with love, laughs, and gifting.",https://thyaga0323.sirv.com/Images/voucher-products/valentines/07-front.png,"anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship","flirty, playful, funny","sri lankan, pick up line, tuk tuk, humor, romantic, funny, love"
247,"<p>Why say I love you"" the ordinary way when you can add a touch of Sri Lankan magic? Blend humor and romance into one irresistible package. Whether it's a cheeky pun or a sweet cultural reference, Make your gift unforgettable - because love should always come with a laugh!</p>"".  this will bring smiles and memories that last long. ",tikiriliya,1,Sri Lankan Pick Up Line Gift Card,Sri Lankan Pick Up Line Series,"Flirt the Lankan way with love, laughs, and gifting.",https://thyaga0323.sirv.com/Images/voucher-products/valentines/08-front.png,"anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship","flirty, playful, funny","sri lankan, pick up line, tikiriliya, humor, romantic, funny, love"
249,"<p>Why say I love you"" the ordinary way when you can add a touch of Sri Lankan magic? Blend humor and romance into one irresistible package. Whether it's a cheeky pun or a sweet cultural reference, Make your gift unforgettable - because love should always come with a laugh!</p>"".  this will bring smiles and memories that last long. ",cheese-kottu,1,Sri Lankan Pick Up Line Gift Card,Sri Lankan Pick Up Line Series,"Flirt the Lankan way with love, laughs, and gifting.",https://thyaga0323.sirv.com/Images/voucher-products/valentines/09-front.png,"anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship","flirty, playful, funny","sri lankan, pick up line, kottu, food humor, romantic, funny"
250,"<p>Why say I love you"" the ordinary way when you can add a touch of Sri Lankan magic? Blend humor and romance into one irresistible package. Whether it's a cheeky pun or a sweet cultural reference, Make your gift unforgettable - because love should always come with a laugh!</p>"".  this will bring smiles and memories that last long. ",ala-to-my-maalu,1,Sri Lankan Pick Up Line Gift Card,Sri Lankan Pick Up Line Series,"Flirt the Lankan way with love, laughs, and gifting.",https://thyaga0323.sirv.com/Images/voucher-products/valentines/10-front.png,"anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship","flirty, playful, funny","sri lankan, pick up line, ala maalu, food humor, romantic, funny"
252,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-roses,1,Wedding Gift Card,Weddings,Celebrate their forever with a gift that keeps giving.,https://thyaga0323.sirv.com/Images/voucher-products/wedding/02-front.png,wedding,"couple, newlyweds","warm, romantic","wedding, marriage, newlyweds, love, roses, couple, celebration"
255,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-married&shit,1,Wedding Gift Card,Weddings,Celebrate their forever with a gift that keeps giving.,https://thyaga0323.sirv.com/Images/voucher-products/wedding/03-front.png,wedding,"couple, newlyweds","funny, playful","wedding, marriage, funny, humorous, couple, celebration"
256,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-poruwa,1,Wedding Gift Card,Weddings,Celebrate their forever with a gift that keeps giving.,https://thyaga0323.sirv.com/Images/voucher-products/wedding/05-front.png,wedding,"couple, newlyweds","warm, cultural","wedding, poruwa, traditional, sri lankan wedding, marriage, cultural"
257,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-pink,1,Wedding Gift Card,Weddings,Celebrate their forever with a gift that keeps giving.,https://thyaga0323.sirv.com/Images/voucher-products/wedding/07-front.png,wedding,"couple, newlyweds","warm, romantic","wedding, marriage, newlyweds, love, pink, couple, celebration"
258,"<p>Get ready to celebrate love in style! Weddings are all about magical moments, shared dreams, and endless joy. <br>
With a customised Thyaga Voucher, you're offering the newlyweds the freedom to curate their perfect start to forever! Add your personal touch with a heartfelt message before sending it their way. 
Let the wedding festivities begin and the love story unfold!
</p>",wedding-sorry,1,Wedding Gift Card,Weddings,Celebrate their forever with a gift that keeps giving.,https://thyaga0323.sirv.com/Images/voucher-products/wedding/04-front.png,wedding,"couple, newlyweds","funny, playful","wedding, marriage, funny, humorous, couple, sorry, quirky"
259,<p>Because some words carry the weight of your heart. A timeless token of love that turns into countless choices for your special someone!</p>,adarei,1,Lovebird Gift Card,Lovebirds,"For soulmates, situationships, or spicy just because"" surprises.""",https://thyaga0323.sirv.com/Images/voucher-products/valentines/12-front.png,"anniversary, date night, just because, surprise, valentine's day","partner, girlfriend, boyfriend, spouse, crush, situationship","romantic, heartfelt, emotional","love, adarei, sinhala, sri lankan, romantic, heartfelt, lovebirds"
262,"<p>Express your gratitude with Thyaga Voucher! Saying thank you has never been easier with the gift of choice. </br>
Whether it's for a kind gesture, a helping hand, or simply being there, our vouchers offer a world of possibilities to show your appreciation. 
Let them choose their own reward, from indulgent treats to unforgettable experiences. With Thyaga Voucher, you can say thank you in the most meaningful way possible. </p>

",superstar,1,Thank You Gift Card,Thank you,"A small card that says big, heartfelt thanks, stylishly.",https://thyaga0323.sirv.com/Images/voucher-products/thank-you/02-front.png,thank you,anyone,"warm, upbeat","thank you, superstar, gratitude, appreciation, thankful, grateful"
263,"<p>Express your gratitude with Thyaga Voucher! Saying thank you has never been easier with the gift of choice. </br>
Whether it's for a kind gesture, a helping hand, or simply being there, our vouchers offer a world of possibilities to show your appreciation. 
Let them choose their own reward, from indulgent treats to unforgettable experiences. With Thyaga Voucher, you can say thank you in the most meaningful way possible. </p>

",heartfelt,1,Thank You Gift Card,Thank you,"A small card that says big, heartfelt thanks, stylishly.",https://thyaga0323.sirv.com/Images/voucher-products/thank-you/04-front.png,thank you,anyone,"warm, sincere","thank you, heartfelt, gratitude, appreciation, grateful, sincere"
265,"<p> Sometimes words aren't enough. Send Warm Wishes that turn into something they'll actually use! From dining delights to fashion finds, this voucher keeps the warmth alive. Gifting made easy, exciting, and full of love.
</p>",warmwishes,1,Wishing the Best Gift Card,Best Wishes,,https://thyaga0323.sirv.com/Images/voucher-products/christmas/2023/7%20Front.png,"general, best wishes",anyone,"warm, sincere","warm wishes, best wishes, any occasion, flexible, thoughtful gift"
266,"<p>Strong, stylish, and unstoppable just like her. These vouchers are more than a gift; they're a statement of love, respect, and appreciation. Whether it's for the boss lady, the everyday hero or the one who makes life beautiful, this is the perfect way to say, `You deserve it all!</p>",for-her-purple,1,For Her,For Her,"From pampering to power moves, she'll love this pick.",https://thyaga0323.sirv.com/Images/voucher-products/iwd-2022/for-her-01-front.png,"general, women's day","woman, female, girl","empowering, warm","for her, women, girl, boss lady, appreciation, strong, stylish"
